First,Last,birthyear,SLpM,StrAcc,SApM,StrDef,TDAvg,TDAcc,TDDef,SubAvg
Cung,Le,1972,4.36,48%,2.98,66%,1.37,71%,88%,0.3
Mounir,Lazzez,1987,7.49,55%,5.42,53%,1.8,57%,71%,0
Zviad,Lazishvili,1991,4.2,39%,6.13,51%,0,0%,0%,0
Valmir,Lazaro,1985,4.87,37%,4.09,61%,1.33,40%,96%,0
Jimmy,Lawson,1991,0.07,8%,1.6,44%,0,0%,0%,0
Eric,Lawson,,1.58,57%,1.97,44%,8.88,42%,0%,3
Ronnie,Lawrence,1992,2.78,56%,1.75,52%,6.75,77%,45%,0.2
Lance,Lawrence,1993,5.87,50%,9.8,24%,1,100%,50%,0
Justin,Lawrence,1990,3.84,35%,2.83,67%,0.72,28%,73%,0
Tom,Lawlor,1983,2.5,42%,2.41,60%,2.46,32%,57%,1.4
Robbie,Lawler,1982,3.85,47%,4.67,59%,0.65,64%,65%,0
Muhammed,Lawal,1981,3.79,52%,1.61,66%,5.96,75%,87%,0
Chatt,Lavender,1976,0,0%,0,0%,0,0%,0%,0
Sandra,Lavado,1994,0.87,37%,2.67,34%,0,0%,33%,0
Dan,Lauzon,1988,1.34,25%,4.09,61%,1.63,33%,80%,2.7
Joe,Lauzon,1984,2.84,39%,5.39,54%,2.39,45%,54%,2
Jenel,Lausa,1988,1.44,42%,3.53,53%,0.55,66%,51%,0.8
Sione,Latu,,0,0%,0,0%,0,0%,0%,0
Ilir,Latifi,1982,2.05,45%,2.93,56%,2.11,35%,100%,0.3
Bobby,Lashley,1976,3.1,63%,0.76,63%,11.47,70%,0%,0
Ryan,Larson,1980,0,0%,0,0%,0,0%,0%,0
Brock,Larson,1977,1.39,46%,1.5,55%,2.67,34%,43%,2
Jeremy,Larsen,1984,4.87,48%,5.75,57%,2.49,33%,0%,0
Lorenz,Larkin,1986,3.53,46%,2.74,63%,0.27,42%,79%,0.1
Icho,Larenas,1980,0.17,15%,2.5,28%,0,0%,14%,0
TJ,Laramie,1997,1.49,50%,2.64,38%,1.44,33%,40%,0
Anthony,Lapsley,1980,0.53,34%,0.58,66%,0,0%,20%,0
Chad,Laprise,1986,4.78,42%,3.59,65%,1.05,54%,78%,0
Taylor,Lapilus,1992,4.18,47%,2.27,62%,0.45,40%,81%,0.5
Lina,Lansberg,1982,2.69,55%,3.87,44%,0.52,27%,47%,0.1
Lionel,Lanham,1980,0,0%,0,0%,0,0%,0%,0
Jeremy,Lang,1975,1.13,50%,1.41,42%,4.22,60%,0%,4.2
Aaron,Lanfranco,1986,0,0%,0,0%,0,0%,0%,0
Austen,Lane,1987,4.48,47%,2.85,48%,0,0%,0%,0
Nate,Landwehr,1988,6.14,46%,5.58,55%,1.07,41%,86%,1.1
Jose,Jons,1973,0.99,40%,0.77,43%,2.2,80%,40%,2.2
Jason,Lambert,1975,3.21,58%,1.84,50%,1.35,36%,28%,2.4
Ricardo,Lamas,1982,3.13,47%,2.87,57%,1.84,33%,46%,0.9
Sean,Lally,1990,5.34,39%,7.23,30%,0,0%,0%,0
Todd,Lally,,0,0%,0,0%,0,0%,0%,0
Tim,Lajcik,1965,0,0%,0,0%,0,0%,0%,0
Yohan,Lainesse,1992,2.34,42%,3.44,59%,1,28%,80%,0.5
Tina,Lahdemaki,1988,1.93,20%,4.67,57%,0,0%,16%,0
Noad,Lahat,1984,2.79,46%,1.47,63%,2.37,26%,16%,2.4
Ben,Lagman,1986,0,0%,0,0%,0,0%,0%,0
Corinne,Laframboise,,0,0%,0,0%,0,0%,0%,0
Ryan,LaFlare,1983,2.89,40%,1.86,63%,2.13,44%,58%,0.2
Aspen,Ladd,1995,3.78,47%,4.65,47%,1.56,47%,62%,0.6
Kemran,Lachinov,,0,0%,0,0%,0,0%,0%,0
Luan,Lacerda,1993,4.52,44%,7.07,47%,1.26,25%,75%,0.6
Daniel,Lacerda,1996,4.16,47%,8.7,34%,1.91,42%,0%,1.3
Jeremiah,Labiano,,0,0%,0,0%,0,0%,0%,0
Josh,LaBerge,,2.53,36%,5.33,44%,0,0%,71%,0
Achmed,Labasanov,1978,0.75,39%,1.1,46%,3,100%,0%,0.8
Mike,Kyle,1980,3.93,51%,3.35,49%,1.33,62%,50%,0.8
Jarrod,Kwitty,,0.53,50%,4.4,32%,8,50%,0%,2
Kaleo,Kwan,1970,0,0%,0,0%,0,0%,0%,0
Lina,Kvokov,,2.31,30%,12.12,19%,0,0%,0%,0
Guram,Kutateladze,1992,4.62,45%,4.53,56%,0.69,18%,75%,0
Kyle,Kurtz,,1.31,36%,2.95,52%,1.23,20%,0%,2.5
Eldari,Kurtanidze,1972,0.47,20%,3.72,60%,0,0%,0%,0
Tsuyoshi,Kurihara,1973,0,0%,12,50%,0,0%,0%,0
Ramazan,Kuramagomedov,1996,11.67,67%,9.13,54%,1,14%,0%,0
Korey,Kuppe,1989,0.73,73%,1.33,31%,0,0%,69%,1
Leo,Kuntz,1983,1.68,32%,3.8,45%,1.99,25%,33%,0.7
Kiichi,Kunimoto,1981,1.87,44%,3.92,41%,1.59,20%,28%,0.3
Keigo,Kunihara,,0.17,10%,1.99,57%,4.97,40%,100%,2.5
Rizvan,Kuniev,1992,7.09,73%,1.55,51%,4.09,75%,0%,0
Aleksei,Kunchenko,1984,3.67,44%,2.83,63%,0.25,33%,80%,0
Sumit,Kumar,2000,2.8,24%,4.67,46%,6,30%,60%,0
Maiju,Kujala,,2.5,40%,5.5,36%,0,0%,50%,0
Anton,Kuivanen,1984,2.27,38%,1.63,67%,1.2,100%,71%,0.4
Michael,Kuiper,1989,3.28,54%,3.62,54%,2.3,55%,79%,0
John,Kuhner,1982,0,0%,0,0%,0,0%,0%,0
Junya,Kudo,,1.85,71%,4.44,33%,0,0%,0%,0
Mariusz,Ksiazkiewicz,1989,0.93,45%,3.4,39%,4,100%,0%,2
Nikita,Krylov,1992,4.38,55%,2.47,44%,2.29,38%,53%,1.4
Jorgen,Kruth,1974,0,0%,0,0%,0,0%,0%,0
Kaynan,Kruschewsky,1991,5.08,39%,4.79,47%,2.18,100%,0%,2.2
Rene,Kronvold,,0.82,100%,2.47,60%,0,0%,66%,4.1
Pascal,Krauss,1987,5.45,47%,3.88,59%,1.53,50%,60%,0.9
James,Krause,1986,4.79,49%,4.11,61%,0.96,18%,59%,0.9
Derrick,Krantz,1988,2.07,37%,4.03,50%,3.18,50%,0%,0.8
Steve,Kozola,,3.9,39%,4.36,50%,2.34,100%,100%,0
Karolina,Kowalkiewicz,1985,5.92,43%,5.55,59%,0.36,26%,74%,0.2
Marcus,Kowal,,0,0%,0,0%,0,0%,0%,0
Matt,Kovacs,,1.47,22%,4.87,44%,1,25%,0%,0
Iouri,Kotchkine,,0.67,38%,4.92,15%,0,0%,25%,0
Ilya,Kotau,,3.94,40%,4.38,44%,6.57,100%,100%,6.6
Naoyuki,Kotani,1981,1.02,31%,2.89,50%,0.83,16%,46%,0.8
Steven,Koslow,1997,0.77,37%,3.73,40%,5.28,55%,0%,1.1
Josh,Koscheck,1977,1.79,36%,2.27,63%,2.46,48%,64%,0.4
Andrey,Koreshkov,1990,2.84,39%,1.92,63%,4.8,53%,0%,0
Bruno,Korea,1991,2.12,34%,3.96,42%,0,0%,25%,0
Roman,Kopylov,1991,4.72,53%,4.11,60%,0.47,50%,92%,0
Andrei,Kopylov,1965,0.33,66%,4.31,40%,0,0%,0%,0
Cheick,Kongo,1975,3.33,56%,1.28,54%,2.3,56%,52%,0.2
Syuri,Kondo,1989,5.4,44%,7.22,58%,0,0%,83%,0.3
Yuki,Kondo,1975,1.14,42%,2.57,51%,0.76,41%,37%,0.5
John,Kolosci,1974,0.21,20%,0.85,50%,0,0%,0%,0
Kaloyan,Kolev,1992,1.12,45%,4.49,42%,10.11,60%,0%,0
Tsuyoshi,Kohsaka,1970,1.88,38%,4.41,54%,1.32,20%,33%,0.4
Charlie,Kohler,1976,0.81,33%,4.31,46%,0,0%,0%,4
Brad,Kohler,1964,0,0%,0,0%,0,0%,0%,0
Shingo,Kohara,,0,0%,0,0%,0,0%,0%,0
Sokun,Koh,,0,0%,0,0%,0,0%,0%,0
Erik,Koch,1988,2.33,42%,2.82,47%,1.02,42%,81%,1
Kelly,Kobold,1983,2.33,21%,4.11,59%,1.67,11%,0%,0
Isao,Kobayashi,1988,1.01,33%,1.66,45%,2.17,100%,100%,0
Josefine,Knutsson,1996,3.73,52%,1.33,64%,2.67,72%,100%,0
William,Knight,1988,2.62,56%,3.3,35%,1.78,40%,48%,0.4
Jason,Knight,1992,2.95,33%,3.02,51%,1.31,31%,47%,1.7
Kevin,Knabjian,1984,0,0%,15.56,22%,0,0%,100%,0
Michael,Knaap,1984,0,0%,0,0%,0,0%,0%,0
Drakkar,Klose,1988,4.38,55%,3.44,52%,1.8,30%,69%,0
Felix,Klinkhammer,,0,0%,0,0%,0,0%,0%,0
Stefan,Klever,,0.82,50%,3.84,58%,0,0%,0%,0
Seth,Kleinbeck,1973,2.55,33%,2.42,40%,0.98,25%,90%,0
Ludovit,Klein,1995,3.49,54%,3.53,53%,1.52,45%,83%,0
Top Noi,Kiwram,1992,4.47,59%,3.23,66%,2.72,85%,74%,0
Satoru,Kitaoka,1980,0.68,33%,2.15,45%,0.62,10%,27%,2.1
Koji,Kitao,1963,0,0%,0,0%,0,0%,0%,0
Justine,Kish,1988,4.51,48%,4.59,57%,0.87,33%,50%,0.1
Yurij,Kiseliov,,4.88,87%,0,0%,0,0%,50%,0
Kamuela,Kirk,1994,3.22,50%,5.87,40%,1.5,26%,47%,1.2
Yusaku,Kinoshita,2000,4.65,50%,5.12,51%,0,0%,50%,0
Kyle,Kingsbury,1982,2.97,40%,3.81,51%,2.64,41%,52%,0
Mike,King,1983,4.44,58%,1.29,72%,1.75,25%,40%,3.5
Taiei,Kin,1970,2.71,60%,1.33,52%,0,0%,55%,0
Dustin,Kimura,1989,1.33,21%,3.82,51%,0.93,37%,50%,2.2
Rob,Kimmons,1981,1.86,48%,4.79,38%,2.08,46%,25%,2.4
Jeremy,Kimball,1991,2.81,46%,3.84,49%,1.41,20%,50%,0
So Yul,Kim,1997,0,0%,0,0%,0,0%,0%,0
SangWon,Kim,1993,3.18,57%,3.73,58%,0.69,25%,72%,0
Sangwook,Kim,1993,5.57,51%,7.94,48%,1.65,18%,66%,0.8
KyeungPyo,Kim,1992,6.77,46%,6.32,63%,3.87,40%,100%,0
HanSeul,Kim,1990,6.93,45%,8.09,50%,0,0%,0%,4
MinWoo,Kim,1993,0,0%,0,0%,0,0%,0%,0
Ji Yeon,Kim,1989,5.37,36%,5.41,56%,0,0%,50%,0.1
Jong Man,Kim,1978,1.33,21%,3,60%,0,0%,0%,0
Min Soo,Kim,1975,0.87,100%,3.48,20%,0,0%,0%,0
Jong Won,Kim,,0.84,15%,3.28,63%,2.81,100%,0%,0
Jong Wang,Kim,,0,0%,0,0%,0,0%,0%,0
Dae Won,Kim,,1.75,32%,2.51,36%,3.43,42%,0%,0
Jin Oh,Kim,,5.06,25%,8.43,50%,0,0%,66%,0
Dong Hyun,Kim,1981,2.12,49%,1.89,58%,2.93,43%,71%,0.6
Jacob,Kilburn,1995,2.56,33%,6.78,35%,0.51,5%,20%,0.5
Sanae,Kikuta,1971,0.7,45%,0.9,52%,1.6,63%,25%,1.8
Katsunori,Kikuno,1981,2.64,40%,2.47,61%,1.88,75%,76%,0.8
Akira,Kikuchi,1978,3.67,56%,0.4,14%,2,40%,100%,0
Pannie,Kianzad,1991,4.87,49%,3.75,53%,0.35,30%,71%,0.1
WonBin,Ki,1991,5.47,47%,3.24,55%,0,0%,0%,0
Aliaskhab,Khizriev,1990,6.03,64%,4.36,62%,5.77,60%,100%,3.9
Alfred,Khashakyan,1988,6.14,42%,6.38,40%,3.54,25%,0%,0
Sergei,Kharitonov,1980,3.9,44%,3.03,54%,1.16,53%,70%,1
Sergey,Khandozhko,1992,3.41,41%,2.37,60%,0.76,28%,61%,0
Adam,Khaliev,1984,0,0%,0,0%,0,0%,0%,0
Rustam,Khabilov,1986,1.98,34%,2.16,65%,3.95,41%,61%,0.1
Ron,Keslar,,0,0%,2.05,60%,0,0%,100%,7.7
Will,Kerr,1982,1.91,42%,6.22,33%,0,0%,0%,14.3
Mark,Kerr,1968,0.28,41%,0.89,28%,2.92,77%,0%,0.4
Aurelijus,Kerpe,,1.26,16%,8.21,31%,0,0%,0%,0
Maimaitituoheti,Keremuaili,1991,1.47,52%,1.67,37%,1,33%,84%,0
Casey,Kenney,1991,4.85,42%,4.67,58%,1.09,35%,61%,0.4
Waylon,Kennell,,0,0%,0,0%,0,0%,0%,0
Jeremy,Kennedy,1992,2.22,46%,2.58,47%,5.73,52%,66%,0
Steve,Kennedy,1983,2.28,35%,5.52,45%,2.51,33%,0%,0
Tim,Kennedy,1979,2.78,47%,1.84,62%,2.58,35%,70%,0.7
Daniel,Kelly,1977,3.62,38%,4.64,61%,1.86,34%,78%,0.3
John,Kelly,1978,0,0%,0,0%,0,0%,0%,0
Paul,Kelly,1984,3.22,37%,2.61,59%,1.34,60%,30%,1.5
Tony,Kelley,1987,5.55,47%,4.85,45%,0,0%,52%,1.4
Mayana,Kellem,1981,1.94,22%,2.9,62%,0,0%,0%,0
Brian,Kelleher,1986,3.36,41%,4.61,54%,1.79,42%,60%,0.7
Chris,Kelades,1981,2.4,43%,2.64,48%,1.04,18%,53%,0.3
CJ,Keith,1986,0.86,50%,1.82,50%,0,0%,62%,0
Ryan,Keenan,1985,0,0%,0,0%,0,0%,0%,0
Julie,Kedzie,1981,2.9,36%,3.18,46%,1.14,23%,78%,0
Toshiomi,Kazama,1997,2.22,54%,3.94,45%,1.51,13%,66%,0
Doug,Kay,,0,0%,0,0%,0,0%,0%,0
Ryo,Kawamura,1981,0.6,16%,3.93,39%,0,0%,6%,0
Tatsuya,Kawajiri,1978,2.04,44%,2.01,50%,3.63,48%,63%,1.1
Canaan,Kawaihae,1997,2.83,51%,4.59,36%,0,0%,100%,0
Yusuke,Kawaguchi,1980,2.87,47%,3.93,50%,0,0%,72%,0
Sarah,Kaufman,1985,6.65,46%,4,62%,0.38,57%,81%,0
Calvin,Kattar,1988,5.12,39%,7.1,54%,0.42,29%,91%,0.1
Brad,Katona,1991,4.8,51%,4.57,50%,1,20%,50%,0
Hisaki,Kato,1982,2.8,48%,1.72,68%,1.62,100%,0%,0
Tetsuji,Kato,,1.2,29%,2.1,70%,2,57%,80%,0.5
Yusuke,Kasuya,1989,2.17,44%,4.34,48%,1.36,33%,0%,0
Nadia,Kassem,1995,3.13,41%,4.48,48%,0.46,33%,40%,2.8
Jinnosuke,Kashimura,2001,0.21,50%,7.37,25%,3.16,100%,0%,6.3
Impa,Kasanganay,1994,4.96,48%,3.66,58%,1.75,58%,66%,0.2
Ernesta,Kareckaite,1998,12.27,45%,11.2,42%,1,50%,100%,0
Alex,Karalexis,1977,2.57,42%,2.39,54%,2.7,45%,86%,0.9
Georgi,Karakhanyan,1985,4.49,39%,5,54%,1.41,50%,33%,1.9
Kai,France,1993,4.57,39%,3.24,65%,0.63,33%,88%,0
David,Kaplan,1979,2.88,46%,4.32,67%,4.88,43%,0%,0.7
Manel,Kape,1993,5.12,54%,4.51,59%,0.65,37%,77%,0.4
Kyung Ho,Kang,1987,3.35,48%,3.33,55%,1.87,57%,68%,0.8
Denis,Kang,1977,2.27,35%,1.65,67%,2.51,65%,38%,1.2
Ken,Kaneko,,0,0%,0.94,42%,0,0%,0%,3.5
Masanori,Kanehara,1982,1.88,49%,1.63,62%,1.44,50%,63%,0.9
Hiromitsu,Kanehara,1970,0.76,22%,4.39,40%,0,0%,40%,0.4
Bharat,Kandare,1987,0.7,10%,1.88,72%,0,0%,0%,0
Koya,Kanda,1995,3.63,41%,2.9,53%,2,18%,100%,0
Martin,Kampmann,1982,3.22,42%,3.28,62%,1.86,41%,78%,2
Shuya,Kamikubo,1993,4.2,49%,5.1,44%,3.5,15%,100%,1
Kai,Kamaka,1995,4.96,57%,5.29,55%,1.93,58%,52%,0.3
Bryson,Kamaka,,9.47,60%,12.63,0%,0,0%,100%,0
Geza,Kalman,,0,0%,0,0%,0,0%,0%,0
Saidyokub,Kakhramonov,1995,2.05,51%,0.88,58%,6.63,48%,83%,1.9
Sirwan,Kakai,1989,3.57,41%,4.63,62%,4,42%,83%,0
Kaiwen,Kaiwen,1995,4.57,54%,3.65,57%,0,0%,90%,0
Oron,Kahlon,1984,0.85,37%,4.93,36%,0,0%,40%,0
Emily,Kagan,1981,2.6,36%,5.29,38%,1.86,14%,50%,0
Patrick,Kaase,,4.4,67%,0.53,50%,0,0%,50%,0
Cristiane,Justino,1985,7.28,52%,2.25,64%,0.66,55%,94%,0.4
Myles,Jury,1988,2.94,42%,2.16,66%,2.16,55%,50%,0.3
Scott,Junk,1978,5.13,60%,1.81,45%,0,0%,0%,0
Da Woon,Jung,1993,3.49,43%,3.89,51%,1.9,50%,77%,0.2
Young Sam,Jung,1985,0.53,9%,2.79,63%,0,0%,0%,2
Chan Sung,Jung,1987,3.93,41%,4.52,52%,0.7,44%,72%,0.6
Bu-Kyung,Jung,1978,0.63,36%,1.85,56%,1.1,75%,0%,1.5
Luke,Jumeau,1988,2.93,43%,3.17,58%,0.25,100%,86%,0
Steve,Judson,,0,0%,0,0%,0,0%,0%,0
Carli,Judice,1999,11.2,57%,12.27,54%,0,0%,50%,0
Anshul,Jubli,1995,6.48,46%,5.61,51%,0.82,18%,63%,0.4
Jesse,Juarez,1981,1.71,48%,2.87,52%,2.69,33%,50%,0
Tony,Juarez,,0.89,25%,10.34,38%,4.43,100%,66%,0
Dustin,Joynson,1985,3.28,53%,5.63,47%,0,0%,0%,0
Mike,Joy,1985,0.57,33%,1.71,47%,0.78,33%,0%,2.3
Kevin,Jousset,1993,6.02,50%,8.1,33%,3.11,100%,0%,3.1
Charles,Jourdain,1995,5.71,49%,4.21,58%,0.1,16%,47%,0.5
Alan,Jouban,1981,5.67,50%,3.77,60%,0.51,44%,58%,0.3
Krzysztof,Jotko,1989,2.98,42%,2.23,57%,1.33,39%,82%,0.1
Jeff,Joslin,1975,2.17,39%,1.57,65%,0.5,33%,64%,0.5
Dwight,Joseph,1989,2.6,52%,2.87,55%,1,20%,20%,1
Gareth,Joseph,,0,0%,0,0%,0,0%,0%,0
Scott,Jorgensen,1982,3.37,40%,3.41,65%,2.61,45%,59%,0.7
Ivan,Jorge,1980,3.41,49%,2.91,59%,1.56,16%,75%,0.6
Shawn,Jordan,1984,2.87,50%,3.3,47%,1.97,38%,76%,0.1
Joe,Jordan,1978,1.85,25%,4.27,59%,0,0%,66%,0
Kevin,Jordan,1970,2,40%,1.91,55%,0,0%,77%,0.6
Jocelyn,Lybarger,1985,2.96,31%,4.83,56%,0.34,25%,81%,0
Jacobi,Jones,1996,5.87,46%,7.6,48%,0,0%,33%,0
Craig,Jones,1991,0,0%,0,0%,0,0%,0%,0
Mason,Jones,1995,5.61,44%,4.94,46%,3.16,45%,80%,0
Trevin,Jones,1990,2.13,37%,4.29,39%,0.62,15%,60%,0.2
Antonio,Jones,1985,7.5,55%,30,42%,0,0%,0%,0
Jamelle,Jones,1988,1.78,80%,3.11,65%,0,0%,0%,0
Roshaun,Jones,,0,0%,0,0%,0,0%,0%,0
Chris,Jones,1981,0,0%,0,0%,0,0%,0%,0
Victor,Jones,,0,0%,0,0%,0,0%,0%,0
Ben,Jones,,0,0%,0,0%,0,0%,0%,0
Justin,Jones,1987,1.7,36%,3.17,45%,1,15%,46%,0.5
Roy,Jones,1983,0,0%,0,0%,0,0%,0%,0
Tito,Jones,1981,0,0%,0,0%,0,0%,0%,0
Jesse,Jones,,0,0%,0,0%,0,0%,0%,0
Carlton,Jones,,2.32,41%,3.58,56%,4.02,50%,57%,2.7
Marcus,Jones,1973,1.94,52%,2.71,58%,8.71,75%,0%,2.9
Nathan,Jones,1970,0,0%,0,0%,0,0%,0%,0
Jon,Jones,1987,4.29,57%,2.22,64%,1.93,45%,95%,0.5
Paul,Jones,1963,0,0%,0,0%,0,0%,0%,0
Daniel,Jolly,1984,1.32,46%,3.39,44%,2.83,33%,50%,0
Liana,Jojua,1995,2.42,30%,5.32,54%,1.71,66%,50%,1.3
Brian,Johnston,,0,0%,0,0%,0,0%,0%,0
Charles,Johnson,1991,4.34,55%,3.27,54%,0.19,14%,62%,0.2
Jose,Johnson,1995,2.8,60%,1.73,55%,0.62,50%,36%,0.6
Chad,Johnson,1986,5.92,68%,7.8,40%,0,0%,0%,0
Taylor,Johnson,1990,5.09,60%,1.13,33%,8.49,100%,100%,0
Jordan,Johnson,1988,3.45,47%,2.64,53%,3.25,42%,100%,1.2
Tony,Johnson,,2,53%,4.73,31%,2,22%,0%,0
Timothy,Johnson,1985,3.43,45%,3.08,44%,1.09,24%,69%,0
Dashon,Johnson,1988,1.01,69%,3.83,35%,0.85,33%,63%,0.8
Kajan,Johnson,1984,2.47,42%,1.59,64%,1.54,37%,62%,0.2
Deshaun,Johnson,,2.27,41%,6.67,43%,0,0%,0%,0
Michael,Johnson,1986,4.28,39%,3.91,58%,0.46,38%,80%,0.1
Demetrious,Johnson,1986,3.43,54%,1.66,67%,3.35,56%,65%,0.5
Lavar,Johnson,1977,5.39,55%,2.54,55%,0.61,66%,54%,0.6
Tony,Johnson,1983,4,92%,3.67,22%,0,0%,90%,0
Ricky,Johnson,,1.83,25%,6.3,36%,0,0%,0%,0
Travis,Johnson,,0,0%,0,0%,0,0%,0%,0
Devin,Johnson,,0,0%,0,0%,0,0%,0%,0
DaMarques,Johnson,1982,2.11,37%,3.75,51%,1.18,55%,19%,0.7
Anthony,Johnson,1984,3.25,47%,1.83,60%,2.43,57%,77%,0.6
Miles,Johns,1994,3.51,48%,2.75,68%,1.03,21%,85%,0
Brett,Johns,1992,2.86,49%,3.84,53%,4.92,49%,58%,1
Phil,Johns,1968,1.2,66%,1.8,50%,0,0%,50%,0
Carls,Tomas,1996,1.74,37%,3.93,44%,1.37,33%,66%,0
Sung Bin,Jo,1992,1.4,33%,2.67,51%,1,33%,83%,1
,Jiniushiyue,2000,3.49,39%,1.66,67%,1.66,66%,100%,0
Jinensibieke,Asikeerbai,1988,2,50%,10,0%,0,0%,0%,0
Ryan,Jimmo,1981,3.12,66%,2.77,46%,0.45,28%,87%,0
Art,Jimmerson,1963,0,0%,0,0%,0,0%,0%,0
Gilbert,Jimenez,,0,0%,0,0%,0,0%,0%,0
Baergeng,Jieleyisi,1995,2.93,45%,4.6,54%,0,0%,84%,0
Ronald,Jhun,1970,1.45,57%,3.01,50%,1.81,100%,100%,0
Maciej,Jewtuszko,1981,2.29,45%,1.39,66%,0,0%,42%,0.9
Chan-Mi,Jeon,1997,6.23,31%,7.77,55%,0,0%,0%,0
Kyle,Jensen,1979,0,0%,0.92,60%,6.92,100%,0%,6.9
Ryan,Jensen,1977,2.84,39%,2.99,59%,1.55,50%,31%,1.9
Steve,Jennum,,0,0%,0,0%,0,0%,0%,0
Jack,Jenkins,1993,4.43,61%,3.07,59%,2.56,69%,75%,0
Brandon,Jenkins,1991,2.93,41%,8.05,33%,0,0%,27%,0
Adrienna,Jenkins,1981,0,0%,0,0%,0,0%,0%,0
Bubba,Jenkins,1988,2.41,37%,1.58,67%,7.23,68%,100%,0
Trent,Jenkins,,0,0%,0,0%,0,0%,0%,0
Aaron,Jeffery,1992,3.1,45%,4.46,34%,0,0%,50%,0
Joanna,Jedrzejczyk,1987,6.28,48%,3.25,62%,0.27,62%,80%,0.1
Justin,Jaynes,1989,3.34,44%,5.33,62%,0.75,40%,20%,1.1
Yazmin,Jauregui,1999,6.26,41%,4.87,54%,0,0%,100%,0
Louis,Jauregui,,0,0%,0,0%,0,0%,0%,0
Jasmine,Jasudavicius,1989,3.54,40%,4.41,51%,2.17,37%,80%,0
Rony,Jason,1984,2.04,44%,3.14,53%,0.59,30%,36%,0.8
Josh,Jarvis,,0,0%,0,0%,0,0%,0%,0
Brock,Jardine,1985,1.06,30%,3.34,56%,0,0%,14%,0.8
Keith,Jardine,1975,3.25,36%,2.98,59%,1.18,45%,62%,0.7
Gigo,Jara,,2.26,57%,2.71,51%,0,0%,66%,0
Jaime,Jara,1969,2.2,60%,1.47,56%,0,0%,25%,0
Dave,Jansen,1979,2.94,33%,3.67,58%,2.79,28%,38%,0.9
Josh,Janousek,1980,0,0%,0,0%,0,0%,0%,0
Ryan,Janes,1981,7.69,48%,5.53,59%,0.35,100%,58%,0
Virna,Jandiroba,1988,2.34,40%,3.03,56%,2.42,39%,73%,1
Nate,James,1978,1.33,42%,2.67,28%,0,0%,44%,0
Justin,James,1976,1.34,36%,2.68,50%,0,0%,50%,1.6
Dustin,Jacoby,1988,5.46,46%,4.02,59%,0.4,25%,60%,0
Richard,Jacobi,1993,0.88,44%,3.94,51%,3.28,100%,100%,0
Eric,Jacob,,0,0%,0,0%,0,0%,0%,0
Montel,Jackson,1992,3.36,53%,1.41,64%,3.42,71%,69%,0.3
Jason,Jackson,1990,2.24,48%,1.31,56%,0,0%,0%,0
Mike,Jackson,1985,4.49,57%,3.73,62%,0.71,33%,88%,0
Kenyon,Jackson,,0,0%,0,0%,0,0%,0%,0
Damon,Jackson,1988,3.02,40%,3.46,50%,2.44,34%,40%,1.6
Jeremy,Jackson,1982,0.71,27%,2.03,25%,1.52,40%,58%,0
Quinton,Jackson,1978,3.25,54%,2.51,55%,1.52,56%,73%,0.1
Eugene,Jackson,1966,2.19,33%,3.44,32%,1.91,71%,16%,2.3
Kevin,Jackson,,0,0%,0,0%,0,0%,0%,0
Yves,Jabouin,1979,3.06,41%,2.93,62%,1.94,60%,82%,0.1
Hiroshi,Izumi,1982,1.95,37%,2.65,66%,3.35,70%,100%,0.5
Yoislandy,Izquierdo,1984,2.93,52%,1.4,26%,0,0%,50%,0
Tatsuya,Iwasaki,,0.79,100%,8.68,38%,0,0%,0%,0
Tomomi,Iwama,,1,20%,3,70%,0,0%,0%,0
Anthony,Ivy,1990,2.5,42%,4.57,51%,4.69,20%,100%,0
Blagoy,Ivanov,1986,3.25,40%,4.2,53%,0.69,40%,61%,0.1
Leandro,Issa,1983,2.08,37%,3.17,58%,2.38,22%,50%,1.2
Wallid,Ismail,1968,0.92,31%,0.83,44%,1.85,28%,0%,0.5
Damir,Ismagulov,1991,3.36,42%,2.44,61%,1,28%,70%,0
Tokimitsu,Ishizawa,1968,1.34,30%,2.99,59%,2.74,18%,0%,0
Eiji,Ishikawa,1979,1.2,29%,4.07,60%,1,9%,0%,0
Yuki,Ishikawa,,1.07,28%,8.57,11%,0,0%,50%,0
Satoshi,Ishii,1986,1.41,36%,1.58,63%,3.47,52%,100%,1.6
Teruto,Ishihara,1991,3.26,44%,3.63,53%,0.5,16%,30%,0
Mitsuhiro,Ishida,1978,1.46,41%,1.13,61%,4.76,53%,33%,0.7
Issa,Isakov,1989,1.93,36%,5.78,40%,0,0%,0%,0
Eric,Irvin,1986,3.27,42%,4.47,36%,4,30%,33%,0
James,Irvin,1978,2.03,48%,3.86,35%,0,0%,36%,0.5
Jason,Ireland,1979,1.2,25%,2.07,51%,3.59,75%,0%,1.2
Jorge,Interiano,,0,0%,0,0%,0,0%,0%,0
Naoki,Inoue,1997,3.67,35%,3.37,60%,0,0%,60%,2.5
Takeshi,Inoue,1980,2.54,44%,3.32,61%,0,0%,47%,0
Katsuya,Inoue,1979,3.41,24%,12.89,51%,0,0%,66%,0
Egan,Inoue,1965,1.66,36%,3.31,57%,0,0%,0%,0
Enson,Inoue,1967,1.7,63%,1.88,30%,0,0%,33%,0
Guto,Inocente,1986,4.13,66%,2.92,54%,0.67,33%,66%,0.7
Chris,Inman,,0,0%,0,0%,0,0%,0%,0
