First,Last,birthyear,SLpM,StrAcc,SApM,StrDef,TDAvg,TDAcc,TDDef,SubAvg
Mike,Wilkinson,1987,2.35,38%,3.7,35%,0.92,14%,55%,0.9
Aaron,Wilkinson,1987,0,0%,0,100%,7.32,100%,0%,0
Joe,Wilk,1982,1,54%,2,72%,0,0%,0%,0
Justin,Wilcox,1979,3.82,28%,2.63,71%,1.43,16%,100%,0
Jonathan,Wiezorek,1978,1.27,58%,5.47,31%,1.91,20%,0%,0
Orlando,Wiet,,0,0%,0,0%,0,0%,0%,0
Adam,Wieczorek,1992,1.68,38%,1.87,48%,0.41,33%,58%,0.4
Josh,Wick,1994,0.65,60%,6.52,41%,0,0%,80%,0
Robert,Whittaker,1990,4.47,42%,3.39,60%,0.85,39%,82%,0
Emily,Whitmire,1991,2.5,31%,2.98,54%,1.9,66%,70%,0.5
Mitch,Whitesel,1981,0,0%,0,0%,0,0%,0%,0
Garett,Whiteley,1980,3.72,48%,4.04,46%,0,0%,27%,0.9
Mike,Whitehead,1981,1.62,33%,2.36,59%,3.59,43%,77%,0.3
Robert,Whiteford,1983,2.33,46%,1.99,62%,1.9,30%,45%,0
Patrik,White,1993,9.77,49%,6.28,60%,0,0%,50%,0
Craig,White,1990,1.23,40%,3.28,39%,0,0%,50%,0.8
Alex,White,1988,3.76,42%,3.07,60%,0.92,28%,71%,0.5
Steve,White,,0,0%,0,0%,0,0%,0%,0
Vernon,White,1971,2.11,38%,2.2,54%,0.88,28%,44%,0
Coty,Wheeler,1978,1.88,22%,3.16,59%,0.87,37%,33%,2.6
Aaron,Wetherspoon,,2.27,32%,4.33,45%,0,0%,77%,0
Sheldon,Westcott,1984,2.26,40%,3.73,37%,3.23,37%,14%,0
Dustin,West,,0,0%,0,0%,0,0%,0%,0
Mike,Wessel,1977,1.82,56%,6.43,22%,6.29,50%,0%,0
Fabricio,Werdum,1977,3.59,52%,2.64,55%,1.75,31%,31%,1.2
Jeremiah,Wells,1986,2.52,45%,1.14,47%,3.89,43%,100%,1.2
Christian,Wellisch,1975,3.12,27%,3.04,56%,1.22,42%,45%,1.2
Mark,Weir,1967,1.54,56%,2.5,38%,0.8,50%,25%,2.4
Chris,Weidman,1984,2.98,43%,3.27,50%,3.6,43%,65%,0.8
Daniel,Weichel,1984,5.71,42%,4.05,61%,0.84,50%,83%,0
Joshua,Weems,1994,5.25,64%,3.34,61%,4.77,40%,100%,0
Darian,Weeks,1993,4.49,51%,4.56,51%,2,30%,100%,0
Royston,Wee,1986,1.1,60%,2.45,49%,3.38,81%,0%,0
Stephanie,Webber,,0.91,80%,3.85,15%,6.79,40%,0%,0
Jonavin,Webb,1989,1.47,30%,2.27,64%,2.5,31%,40%,1
Brok,Weaver,1991,4.78,64%,4.35,46%,0.41,10%,66%,0.4
Enrique,Watson,,0,0%,0,0%,0,0%,0%,0
Tom,Watson,1982,4.01,44%,4.41,50%,0.15,7%,43%,0
Walel,Watson,1984,2.1,29%,3.79,43%,0,0%,61%,1.4
Maka,Watson,1984,0.93,37%,1.6,22%,2,100%,33%,0
Kyle,Watson,1979,3.67,35%,3.25,62%,0,0%,100%,0
Blake,Watkins,,5.45,62%,7.64,61%,0,0%,0%,0
Sam,Watford,,0.13,18%,0.73,62%,2,40%,60%,1
Michelle,Gomez,1986,3.56,46%,4.19,49%,1.42,32%,70%,0.7
Trey,Waters,1995,6.45,45%,3.95,61%,0.78,50%,77%,0.8
Dominic,Waters,1989,0.48,23%,2.53,39%,4.07,52%,28%,0
Andy,Waters,,0,0%,0,0%,0,0%,0%,0
Ron,Waterman,1965,0.84,50%,1.37,42%,4.19,69%,50%,2.8
Kazuhisa,Watanabe,1983,0.62,50%,0.94,0%,0,0%,14%,0
Kengo,Watanabe,1976,0.6,40%,3.4,35%,1,100%,37%,0
Idris,Wasi,1989,0.4,31%,3.53,46%,0,0%,20%,0
Merritt,Warren,,0,0%,0,0%,0,0%,0%,0
Brian,Warren,,1.16,21%,4.63,57%,0,0%,0%,0
Joe,Warren,1976,2.15,46%,2.39,52%,6.14,46%,60%,0
Terrion,Ware,1986,4.02,32%,6.07,50%,0.5,22%,44%,0
Charlie,Ward,1980,1.64,19%,7.21,53%,0,0%,0%,0
Brennan,Ward,1988,7.2,60%,2.76,52%,0,0%,100%,3.6
Curt,Warburton,,2.13,42%,3.44,43%,2.35,50%,83%,0.9
Joshua,Kim,1992,2.95,40%,4.43,60%,1.17,100%,66%,0
Anying,Wang,1991,1.32,26%,1.63,44%,0,0%,33%,0
Sai,Wang,1986,3.17,46%,2.27,53%,0,0%,77%,0
Andy,Wang,1977,3.43,36%,10.29,62%,0,0%,0%,0
Dimitiri,Wanderley,,0.92,25%,4.31,30%,1.16,20%,0%,0
Erick,Wanderlei,,0.63,41%,2.66,40%,3.8,66%,0%,1.9
Patrick,Walsh,1988,2.03,19%,2.83,64%,3,54%,100%,1.5
Richard,Walsh,1988,3.84,46%,2.72,58%,1.55,40%,66%,0.2
Cory,Walmsley,,0.79,100%,1.18,50%,0,0%,0%,0
Jim,Wallhead,1984,3.19,26%,6.65,49%,0,0%,100%,0
James,Wallace,1992,0.52,28%,3.41,35%,0,0%,0%,0
Randall,Wallace,1989,1.13,38%,4.11,45%,2.13,50%,0%,0
Jeremy,Wallace,,0,0%,0,0%,0,0%,0%,0
Rodney,Wallace,1981,1.13,46%,3.44,45%,6,54%,28%,1
Crafton,Wallace,1975,1.55,44%,2.36,47%,0,0%,42%,0
Ben,Wall,1989,1.47,29%,8.53,29%,0,0%,100%,0
Valter,Walker,1997,0,0%,0,0%,0,0%,0%,0
Brogan,Walker,1988,2.04,30%,3.7,47%,0,0%,11%,0
Johnny,Walker,1992,3.87,56%,2.64,45%,0.5,100%,57%,1
Donny,Walker,1980,1.81,37%,3.85,46%,0,0%,57%,1.7
Herschel,Walker,1962,3.42,67%,0.45,46%,1.94,100%,100%,0
Andre,Walker,,2.28,31%,4.36,34%,0,0%,0%,0
Chase,Waldon,1986,1.03,28%,6.72,38%,7.76,33%,0%,0
TJ,Waldburger,1988,2.02,51%,2.39,40%,3.03,46%,40%,4.8
Neil,Wain,,2.64,50%,8.57,43%,0,0%,50%,0
Chris,Wade,1987,1.7,53%,1.75,51%,2.6,51%,55%,1.1
James,Wade,,0,0%,0,0%,0,0%,0%,0
Igor,Vovchanchyn,1973,1.59,49%,0.97,63%,1.19,66%,50%,0.5
Mark,Vorgeas,,3.87,32%,4.19,51%,0,0%,50%,0.8
Milco,Voorn,,0,0%,0,100%,0,0%,0%,0
Jason,Flue,1975,1.89,36%,3.23,52%,0.62,16%,58%,1.5
Alexander,Volkov,1988,5.1,57%,3,54%,0.49,63%,73%,0.2
Jacob,Volkmann,1980,1.19,34%,1.78,52%,3.19,48%,52%,2
Alexander,Volkanovski,1988,6.19,57%,3.42,58%,1.84,37%,70%,0.2
Mateo,Vogel,1996,4.47,46%,2.87,65%,1,16%,0%,0
Bobby,Voelker,1979,4.01,35%,5.84,42%,1.04,50%,66%,0
Cheyanne,Vlismas,1995,4.93,50%,2.57,64%,0.25,33%,66%,0.2
Falaniko,Vitale,1974,1.88,49%,3.68,47%,0.72,33%,86%,0
Brandon,Visher,1984,2.55,45%,3.76,42%,0.67,20%,0%,0
Marcos,Vinicius,1979,1.93,49%,2.91,47%,0,0%,25%,0.5
Yuri,Villefort,1991,3.18,43%,5.42,55%,2,35%,40%,0.3
Danillo,Villefort,1983,2.86,37%,2.4,68%,1.71,66%,33%,1.7
Joey,Villasenor,1975,2.05,38%,3.26,52%,0.71,40%,53%,1.1
Pablo,Villaseca,1987,2.79,42%,3.25,65%,2.5,50%,33%,0
Armando,Villarreal,1989,3.23,55%,4.3,52%,3.23,25%,0%,0
Ruben,Villareal,1970,5.18,53%,4.86,35%,0,0%,0%,0
Ike,Villanueva,1984,3.66,38%,7.24,36%,0.6,50%,100%,0
Gian,Villante,1985,4.38,44%,5.47,55%,0.45,23%,83%,0
DeMarco,Villalona,,0,0%,0,0%,0,0%,0%,0
Alejandro,Villalobos,1979,3.93,46%,4.07,67%,1,50%,0%,0
Steve,Vigneault,1978,2.19,28%,5.75,44%,0,0%,100%,0
Rodolfo,Vieira,1989,3.36,54%,4.84,48%,3.7,26%,100%,1.4
Ketlen,Vieira,1991,3.04,41%,3.92,51%,1.51,44%,92%,0.6
Reginaldo,Vieira,1982,3.76,40%,2.89,59%,1.97,27%,25%,0.8
Milton,Vieira,1978,1.13,35%,2.36,48%,2.67,53%,12%,0.7
Tamires,Vidal,1998,4.25,55%,4.53,58%,0,0%,40%,0.8
James,Vick,1987,4.13,39%,3.31,60%,0.26,33%,57%,0.7
